controller,family,seed,condition,scenario,IAE,ISE,SSE,ControlEnergy,MeanAbsVoltage,SaturationFraction
SAC,RL,1.0,saturation,sine,26.94078711097768,2198.194417903253,7.922247162375385,287.7119999999777,23.976,0.998003992015968
SAC,RL,1.0,combined_stress,step_nominal,29.81582340925516,2045.102257016664,19.95497979276737,287.7119999999777,23.976,0.998003992015968
SAC,RL,1.0,combined_stress,step_load_disturbance,31.379524632413023,2167.610659306989,30.325407092927847,287.7119999999777,23.976,0.998003992015968
SAC,RL,1.0,combined_stress,ramp,5.352221350441935,73.95156711212137,21.0181978126205,279.1730640312364,23.50717229938504,0.9441117764471058
SAC,RL,1.0,combined_stress,sine,29.815823409255163,2399.969373961576,19.95497979275764,287.7119999999777,23.976,0.998003992015968
SAC,RL,2.0,nominal,step_nominal,12.31246119707498,811.3426229359851,0.44127801894318,142.46788260166988,13.247780090570798,0.4810379241516966
SAC,RL,2.0,nominal,step_load_disturbance,12.305601455815117,811.765813682492,0.2326079602427455,148.30446411108682,14.311292722225502,0.4910179640718562
SAC,RL,2.0,nominal,ramp,0.5328933625246064,0.626107041595543,0.5773629969715586,69.5118799229015,11.681911655008747,0.0
SAC,RL,2.0,nominal,sine,15.561722370428608,1171.357766719423,0.9053796947124796,162.7219087061419,15.837933215230969,0.4890219560878243
SAC,RL,2.0,ra_plus_50,step_nominal,16.875609399809747,1108.748197194851,0.4876292537735907,198.3933759257596,17.44317023921034,0.6746506986027944
SAC,RL,2.0,ra_plus_50,step_load_disturbance,17.23393754526049,1119.4180922711,0.1992243514227993,213.0626183681523,19.00035903644578,0.716566866267465
SAC,RL,2.0,ra_plus_50,ramp,0.6393380538753101,0.9439371637729344,0.661539085611679,143.22516842201486,16.78731373000139,0.0079840319361277
SAC,RL,2.0,ra_plus_50,sine,19.592189605117685,1545.6741003870882,1.1109052431105937,204.99610975436303,18.64090393712389,0.6187624750499002
SAC,RL,2.0,j_plus_50,step_nominal,18.33630109645411,1216.137623635722,0.4928463532048397,211.73377646543588,18.44063709449786,0.7225548902195609
SAC,RL,2.0,j_plus_50,step_load_disturbance,18.65975942313236,1226.798178175176,0.2462691476684995,222.1759454885966,19.492914290905144,0.7544910179640718
SAC,RL,2.0,j_plus_50,ramp,0.7128579740795307,1.0949420797068294,0.976024361166978,141.9056406811652,16.733008965134562,0.0
SAC,RL,2.0,j_plus_50,sine,20.756483425584044,1666.0926809359262,1.556752009660002,209.4839759235436,18.885853807151484,0.6207584830339321
SAC,RL,2.0,friction,step_nominal,12.567424407449938,829.0160426612034,0.416474637873975,146.2177156231706,13.697430524349548,0.4910179640718562
SAC,RL,2.0,friction,step_load_disturbance,12.570572963356923,829.6166303875332,0.199511448562319,152.6794035312079,14.760672628403013,0.500998003992016
SAC,RL,2.0,friction,ramp,0.5502169093752527,0.6640298892942932,0.6199150036624701,74.78889127275197,12.119879565536928,0.0
SAC,RL,2.0,friction,sine,15.824768904032284,1195.9625467780425,0.948137750463431,164.89394248077866,15.95876821732547,0.497005988023952
SAC,RL,2.0,saturation,step_nominal,26.940787110977677,1805.0384239789296,7.922247162385119,287.7119999999777,23.976,0.998003992015968
SAC,RL,2.0,saturation,step_load_disturbance,28.517745020124764,1898.9442789255693,18.426330494000013,287.7119999999777,23.976,0.998003992015968
SAC,RL,2.0,saturation,ramp,2.8007582492808707,18.37515535607873,9.65544194774752,276.00913665016446,23.30525552609557,0.9221556886227544
SAC,RL,2.0,saturation,sine,26.94078711097768,2198.194417903253,7.922247162375385,287.7119999999777,23.976,0.998003992015968
SAC,RL,2.0,combined_stress,step_nominal,29.81582340925516,2045.102257016664,19.95497979276737,287.7119999999777,23.976,0.998003992015968
SAC,RL,2.0,combined_stress,step_load_disturbance,31.379524632413023,2167.610659306989,30.325407092927847,287.7119999999777,23.976,0.998003992015968
SAC,RL,2.0,combined_stress,ramp,5.549574348342157,78.20704586799691,21.40064420534172,279.548666984363,23.4795071983337,0.9540918163672656
SAC,RL,2.0,combined_stress,sine,29.815823409255163,2399.969373961576,19.95497979275764,287.7119999999777,23.976,0.998003992015968
SAC,RL,3.0,nominal,step_nominal,12.28062217752535,811.3238774235987,0.0266747555710935,142.5693125663251,13.203787797689788,0.4830339321357285
SAC,RL,3.0,nominal,step_load_disturbance,12.250331531093847,811.7433168336391,0.1470920472001893,147.97620928312057,14.266613491058663,0.4890219560878243
SAC,RL,3.0,nominal,ramp,0.4711731531806443,0.4896966187003881,0.6421194340972534,69.0921753706775,11.681300488769963,0.0
SAC,RL,3.0,nominal,sine,15.558867089099364,1171.3749643573683,0.8071877531069589,163.50059997177925,15.939967471156065,0.4910179640718562
SAC,RL,3.0,ra_plus_50,step_nominal,16.85693327730878,1108.7339238815582,0.1540899689734516,198.5079400586369,17.390671664953445,0.6746506986027944
SAC,RL,3.0,ra_plus_50,step_load_disturbance,17.235178659389334,1119.419191521596,0.2324693330458132,212.29250674919885,18.93036231994645,0.7125748502994012
SAC,RL,3.0,ra_plus_50,ramp,0.5152314291040618,0.6027153685649391,0.8363083906043727,142.78124957106337,16.769793069601008,0.0019960079840319
SAC,RL,3.0,ra_plus_50,sine,19.587446546525737,1545.6705893254389,1.167872781001165,205.30108024429416,18.72342297697084,0.5948103792415169
SAC,RL,3.0,j_plus_50,step_nominal,18.32032120542252,1216.1251019372082,0.1764967868252682,211.77390669581885,18.39063718891162,0.720558882235529
SAC,RL,3.0,j_plus_50,step_load_disturbance,18.64936672980677,1226.7943207843116,0.1673384499472234,221.56920443154604,19.42524164199844,0.7524950099800399
SAC,RL,3.0,j_plus_50,ramp,0.4862927322747794,0.5143219786554594,0.7765724946667518,145.91217453187443,16.81444623756404,0.0119760479041916
SAC,RL,3.0,j_plus_50,sine,20.73612367554951,1666.053553996203,1.1656376547520892,211.15121459603117,19.04101898950354,0.6327345309381237
