controller,family,seed,condition,scenario,IAE,ISE,SSE,ControlEnergy,SaturationFraction
Residual SAC-LQR,RL hybrid,1.0,nominal,sine,15.697282918611416,1171.7558057680917,0.9297865721092506,161.21444126185946,0.4850299401197604
Residual SAC-LQR,RL hybrid,1.0,ra_plus_50,step_nominal,16.930683166354115,1108.8259981381395,0.9292396848053386,198.0416550186576,0.6686626746506986
Residual SAC-LQR,RL hybrid,1.0,ra_plus_50,step_load_disturbance,17.242324898557214,1119.4264063233218,0.1215889602871413,212.33044159900072,0.7065868263473054
Residual SAC-LQR,RL hybrid,1.0,ra_plus_50,ramp,0.5104823799820182,0.5253189688277996,1.0036796201721074,140.50116665390968,0.0
Residual SAC-LQR,RL hybrid,1.0,ra_plus_50,sine,19.69350824386176,1545.952521066533,1.6679000210697126,201.37580176831509,0.6067864271457086
Residual SAC-LQR,RL hybrid,1.0,j_plus_50,step_nominal,18.380844942957687,1216.2003501837346,0.925033195121486,211.242387720799,0.7145708582834331
Residual SAC-LQR,RL hybrid,1.0,j_plus_50,step_load_disturbance,18.674054941807437,1226.8103816744751,0.2899234245056874,221.54653737858908,0.7445109780439122
Residual SAC-LQR,RL hybrid,1.0,j_plus_50,ramp,0.5638313247477734,0.6431730799236552,1.0313051621012337,140.53194864091097,0.0
Residual SAC-LQR,RL hybrid,1.0,j_plus_50,sine,20.83693640516721,1666.3054670174658,1.8611841452601965,207.28084564761667,0.6287425149700598
Residual SAC-LQR,RL hybrid,1.0,friction,step_nominal,12.660005977607028,829.1376070124109,0.8895804050092124,146.117660539992,0.4870259481037924
Residual SAC-LQR,RL hybrid,1.0,friction,step_load_disturbance,12.575944417254927,829.6260951678245,0.0882389404686847,152.03324476842235,0.4930139720558882
Residual SAC-LQR,RL hybrid,1.0,friction,ramp,0.2355526444623922,0.1121427555837556,0.4183623238154581,74.09790152091051,0.0
Residual SAC-LQR,RL hybrid,1.0,friction,sine,15.952970702701808,1196.3245388215507,1.0009443202756358,163.35653336973795,0.4930139720558882
Residual SAC-LQR,RL hybrid,1.0,saturation,step_nominal,26.940787110977677,1805.0384239789296,7.922247162385119,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,1.0,saturation,step_load_disturbance,28.517745020124764,1898.9442789255693,18.426330494000013,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,1.0,saturation,ramp,2.740149383612881,17.8396055624634,9.569854681428254,266.90131446286466,0.8243512974051896
Residual SAC-LQR,RL hybrid,1.0,saturation,sine,26.94078711097768,2198.194417903253,7.922247162375385,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,1.0,combined_stress,step_nominal,29.81582340925516,2045.102257016664,19.95497979276737,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,1.0,combined_stress,step_load_disturbance,31.379524632413023,2167.610659306989,30.325407092927847,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,1.0,combined_stress,ramp,5.478086808124292,76.81164921746083,21.27947659195408,276.09022763267296,0.908183632734531
Residual SAC-LQR,RL hybrid,1.0,combined_stress,sine,29.815823409255163,2399.969373961576,19.95497979275764,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,2.0,nominal,step_nominal,12.353302624483314,811.3970635179668,0.8533311577068758,141.90579185113893,0.4770459081836327
Residual SAC-LQR,RL hybrid,2.0,nominal,step_load_disturbance,12.297691738323763,811.774514446839,0.2688638285473104,147.29239870231785,0.4850299401197604
Residual SAC-LQR,RL hybrid,2.0,nominal,ramp,0.4293842432875452,0.3754433457636029,0.602839853612295,68.58826640222613,0.0
