controller,condition,scenario,iae,ise,steady_state_error,control_energy,rise_time,settling_time,overshoot_pct,saturation_fraction
LQR,saturation,step_nominal,26.894748234560396,1800.0698049790526,12.410328991421089,288.0,0.48899999999996246,0.49999999999996125,-7.922247162385119,1.0
LQR,saturation,step_load_disturbance,28.47695818537347,1894.1140437533888,22.059021367893575,288.0,,0.49999999999996125,-18.426330494000013,1.0
LQR,saturation,ramp,2.931379455449051,19.97070338553392,9.52057560774435,270.0033164156698,0.49999999999996125,0.49999999999996125,-9.931324232608064,0.866
LQR,saturation,sine,26.894748234560176,2193.2257989033787,6.448788162501064,288.0,,0.49999999999996125,-23.268539301987598,1.0
LQR,combined_stress,step_nominal,29.775800899153367,2040.3013576260234,23.779816709919142,288.0,,0.49999999999996125,-19.954979792767375,1.0
LQR,combined_stress,step_load_disturbance,31.34468733596149,2163.0704744647733,33.31574999494058,288.0,,0.49999999999996125,-30.325407092927847,1.0
LQR,combined_stress,ramp,5.661713530265914,80.84039314782814,20.54226089196116,276.49225867296497,,0.49999999999996125,-21.61288274035942,0.926
LQR,combined_stress,sine,29.77580089915315,2395.1684745709326,17.818275880999124,288.0,,0.49999999999996125,-33.295816493972815,1.0
LQI,nominal,step_nominal,22.120705235875473,1283.9526753065668,15.332800198567938,63.208853481119206,,0.49999999999996125,-13.877590416384377,0.0
LQI,nominal,step_load_disturbance,22.166009661738425,1286.621266828877,15.422507010834952,72.31955418522155,,0.49999999999996125,-13.958783297636812,0.0
LQI,nominal,ramp,14.596665618648297,503.11667855856246,43.6849785771888,24.55995800475878,,0.49999999999996125,-44.41365531098277,0.0
LQI,nominal,sine,20.83826102548091,1482.8324681153956,14.409254560465126,69.96365057446202,,0.49999999999996125,-32.47813345988931,0.0
LQI,ra_plus_50,step_nominal,22.25855676198045,1317.3801970539043,14.971605539880242,132.17800836172967,,0.49999999999996125,-13.529671957028313,0.26
LQI,ra_plus_50,step_load_disturbance,22.325797291586714,1321.2573434631163,15.106639426626908,150.84409298669928,,0.49999999999996125,-13.651700523910918,0.26
LQI,ra_plus_50,ramp,14.701064431437226,509.95073982809157,43.896768679679234,51.363629238420835,,0.49999999999996125,-44.61584945539703,0.0
LQI,ra_plus_50,sine,21.208778792825136,1618.9635112798126,12.922074087762134,148.8665008622154,,0.49999999999996125,-31.40854875645874,0.466
LQI,j_plus_50,step_nominal,22.38759303612119,1355.1863601740279,14.398142867000615,150.5050985864097,,0.49999999999996125,-13.01071312121067,0.394
LQI,j_plus_50,step_load_disturbance,22.433762768840275,1357.826256113312,14.485519793849358,162.7222956109352,,0.49999999999996125,-13.089670261243342,0.4
LQI,j_plus_50,ramp,14.70474210024442,510.1909170589883,43.90403587017392,51.3634218234281,,0.49999999999996125,-44.62276283393526,0.0
LQI,j_plus_50,sine,21.77620012033397,1719.7660511374715,11.233998792902467,169.9584319798296,,0.49999999999996125,-30.139236436632032,0.556
LQI,friction,step_nominal,22.134820110324213,1285.5581894445031,15.342870885383293,68.04595229665475,,0.49999999999996125,-13.886705309602263,0.0
LQI,friction,step_load_disturbance,22.180124536532364,1288.2285287217248,15.432577703961492,77.64726929665302,,0.49999999999996125,-13.967898218411335,0.0
LQI,friction,ramp,14.610699162588153,503.7833304023135,43.69540960183632,27.5488292413796,,0.49999999999996125,-44.42309634258797,0.0
LQI,friction,sine,20.85237589898386,1484.5113373271397,14.419325253963809,74.59838553157634,,0.49999999999996125,-32.485729227800356,0.0
LQI,saturation,step_nominal,27.176988819846617,1830.5085403591095,12.974770765731483,283.80592090072145,0.49199999999996213,0.49999999999996125,-8.486360465058937,0.976
LQI,saturation,step_load_disturbance,28.75919950897761,1926.3421342757988,22.623469368763224,283.80592090072145,,0.49999999999996125,-18.990451166597296,0.976
LQI,saturation,ramp,14.767734264449174,515.9159641528838,44.326813983864966,69.6857824898238,,0.49999999999996125,-45.06499308921251,0.0
LQI,saturation,sine,27.174010332267944,2223.362965560663,7.007218972701944,283.87603912230145,,0.49999999999996125,-23.733627498857892,0.976
LQI,combined_stress,step_nominal,30.061359635714737,2074.5499598199863,24.34032783038968,284.1939896045909,,0.49999999999996125,-20.513958715209895,0.978
LQI,combined_stress,step_load_disturbance,31.63025811224613,2199.0934935485493,33.87636267622625,284.1939896045909,,0.49999999999996125,-30.88450622184007,0.978
LQI,combined_stress,ramp,14.951756978364426,528.9605431521848,45.10141154499872,130.81299810237115,,0.49999999999996125,-46.10604510204098,0.186
LQI,combined_stress,sine,30.058290308804555,2429.143621580887,18.372704082747543,284.24884621913037,,0.49999999999996125,-33.75657701561243,0.978
Hinf_state_feedback,nominal,step_nominal,12.140318722922022,806.2818107679653,1.9189735667168863e-09,142.14907374172077,0.2199999999999921,0.23899999999999,4.090978222848207e-09,0.482
Hinf_state_feedback,nominal,step_load_disturbance,12.21378434638784,806.7461177145153,0.14080121982916297,147.89117599442673,0.22199999999999187,0.24299999999998956,-0.14080121559727843,0.49
Hinf_state_feedback,nominal,ramp,0.3984058280712065,0.31823254368286225,0.8013627026655351,68.41834710859519,0.4549999999999662,0.0,-0.801362704032277,0.0
Hinf_state_feedback,nominal,sine,15.47923037519835,1166.3084695583111,0.9297697970643304,163.1050327642765,,0.24299999999998956,-16.123121469870608,0.49
Hinf_state_feedback,ra_plus_50,step_nominal,16.754586939627238,1103.7129855129328,0.0003323106963338773,197.69214694223302,0.3069999999999825,0.3349999999999794,-0.00033230948726270526,0.676
Hinf_state_feedback,ra_plus_50,step_load_disturbance,17.186014847551583,1114.4196986699576,0.20759557478554655,212.25989108693605,0.32199999999998086,0.3549999999999772,-0.20759557236556245,0.716
Hinf_state_feedback,ra_plus_50,ramp,0.5842021094231586,0.685549907518214,1.1798453282538746,140.50304087199848,0.4559999999999661,0.0,-1.1798616280624605,0.0
Hinf_state_feedback,ra_plus_50,sine,19.531810009982387,1540.6658796330626,1.3544574186960938,205.02775919451415,,0.29499999999998383,-17.896753231981332,0.594
Hinf_state_feedback,j_plus_50,step_nominal,18.227853789576763,1211.1089234496712,9.482071448019269e-09,211.095976260409,0.32999999999998,0.3589999999999768,3.733674702743883e-09,0.722
Hinf_state_feedback,j_plus_50,step_load_disturbance,18.599746024359224,1221.7945431896148,0.14080135490312443,221.5586307906423,0.34299999999997854,0.37399999999997513,-0.14080121674270174,0.754
